,dc_lam12_p_val,dc_lam12_delta,sc_lam12_p_val,sc_lam12_delta,dc_nonlam_p_val,dc_nonlam_delta,sc_nonlam_p_val,sc_nonlam_delta,LAM2.pct,LAM1.pct,nonLAM.pct,pct.fc.12,pct.fc.nl,Score
PRRX2,1.25318981976592e-08,0.392584689250467,3.01853184155514e-08,0.381648439583889,2.01702864551302e-51,0.810890117145993,1.21303708040139e-59,0.811686832335617,0.13,0.012,0.023,10.8333333333333,5.65217391304348,0.000163689365990644
ZEB2,2.87038128505175e-05,0.283435582822086,2.03349549465622e-06,0.324619898639637,2.96055807876584e-42,0.731722557709378,1.06787273496829e-61,0.89007560486075,0.704,0.693,0.133,1.01587301587302,5.29323308270677,0.00147022900357284
SATB1,1.39084177729291e-08,0.391304347826087,1.07294328664482e-09,0.421712456655108,3.09540593823315e-43,0.740592245363791,8.67559591903469e-33,0.639881892001802,0.157,0.221,0.108,0.710407239819005,1.4537037037037,0.00210246447210721
SNAI2,3.33453262242039e-13,0.506214990664177,2.72039351264303e-18,0.607415310749533,2.07293428305043e-19,0.48163794498205,4.38373035790291e-16,0.433280787444958,0.417,0.16,0.039,2.60625,10.6923076923077,0.00215920971559013
SKIL,3.02943432279949e-11,0.460869565217391,6.74926626384323e-10,0.426993865030675,1.86977886747492e-20,0.49577985823542,5.2241980918377e-34,0.651634534236452,0.365,0.288,0.314,1.26736111111111,1.16242038216561,0.00618850147532314
TWIST1,0.000454395641878342,0.233715657508669,2.04603114163344e-07,0.356788476927181,6.21422249187895e-38,0.691292104123941,3.44611380624584e-45,0.757953815006406,0.348,0.362,0.003,0.961325966850829,116,0.0130710601806641
RARG,1.12539862941598e-13,0.516564417177914,3.42806312722382e-13,0.505948252867431,3.59260134955293e-17,0.449877781616081,3.78741283156471e-13,0.386508970698197,0.139,0.092,0.049,1.51086956521739,2.83673469387755,0.0252024983216973
RUNX2,2.67771445922312e-06,0.320565484129101,0.000480957546218712,0.232595358762337,1.29828304602373e-12,0.377308484448312,6.61254546106504e-31,0.620029822160226,0.235,0.037,0.085,6.35135135135135,2.76470588235294,0.0488331417075956
HDGF,3.99543051046601e-15,0.547185916244332,6.00014407645827e-12,0.475220058682315,4.42626996175884e-21,0.504064034562222,8.03660040740171e-15,0.407898062434135,0.304,0.337,0.299,0.902077151335312,1.01672240802676,0.108498915000584
NR2F1,0.000588015285447626,0.22859429181115,0.00045439187473539,0.233715657508669,1.05219400352956e-48,0.78824342228966,3.6239204604179e-47,0.775143098268828,0.365,0.552,0.095,0.661231884057971,3.84210526315789,0.108498915000584
HOXD3,0.0076193374925538,0.170978927714057,0.0130084660916016,0.15684182448653,9.94288156515791e-45,0.75389940049587,1.46915594442454e-40,0.713397671072942,0.113,0.301,0.006,0.375415282392027,18.8333333333333,0.126515610504096
GLI2,4.39390779740355e-08,0.376900506801814,0.000101614772873953,0.261723126166978,1.43121158114624e-12,0.37657123866911,1.41788094229394e-31,0.627155438171491,0.122,0.061,0.02,2,6.1,0.215336367738901
EP300,2.04844002779296e-06,0.324513203520939,0.000132369332031377,0.256975193384903,2.79524948259896e-23,0.532182571089996,3.00872805417872e-18,0.465420286939905,0.209,0.264,0.24,0.791666666666667,0.870833333333333,0.234854473847928
LEF1,1.04524239330759e-07,0.36569751933849,9.95372265522261e-08,0.36633769005068,0.00502868235908144,0.138773618320077,4.52919373549985e-27,0.577490172242653,0.174,0.215,0.03,0.809302325581395,5.8,0.26351642997104
NFATC2,2.01881791002439e-06,0.324726593758336,4.53426621263425e-06,0.312670045345425,2.19620476053113e-10,0.336407960155495,8.67950398148592e-10,0.324619898639637,0.183,0.184,0.071,0.994565217391304,2.57746478873239,0.693112165236192
TWIST2,0.00706537484138747,0.172899439850627,0.00643678916923155,0.17524673246199,1.19275694694094e-20,0.498379021290923,4.20814346752558e-21,0.504350668374955,0.426,0.411,0.108,1.03649635036496,3.94444444444444,0.693112165236192
CREB3L1,3.94356055495989e-07,0.347879434515871,0.00030173531021563,0.241237663376901,1.52181881657439e-28,0.594188614231555,1.13446474151977e-25,0.548324580543883,0.235,0.442,0.189,0.531674208144796,1.24338624338624,0.770207321746018
NFATC1,0.00016727270792065,0.25270738863697,9.35073273076811e-07,0.335822886102961,1.1278038246363e-27,0.584388623851606,7.81472023401798e-24,0.539031829252828,0.122,0.123,0.104,0.991869918699187,1.17307692307692,0.770207321746018
SATB2,3.89997192184115e-11,0.458202187249933,0.000168051762019818,0.252120565484129,0.000796079333319366,0.170233373708399,0.0259281323791315,0.104785101163589,0.104,0.061,0.014,1.70491803278689,7.42857142857143,1
PRRX1,1.14129391732964e-05,0.298372899439851,1.52247201402207e-06,0.256975193384903,0.0319371489952956,0.099910795884367,0.0178891762777371,0.0946363839100263,0.496,0.472,0.053,1.05084745762712,9.35849056603774,1
SRSF2,1.44305615723843e-05,0.294638570285409,0.0116744328745389,0.159775940250734,3.6197327194201e-19,0.478302847972574,6.4100740820878e-12,0.364997879215878,0.626,0.785,0.543,0.797452229299363,1.15285451197053,1
FOXC1,3.12022938685281e-05,0.282048546279008,0.00134170290655968,0.211469725260069,1.94061690939618e-10,0.33744998666311,1.65693202676005e-06,0.250661159915868,0.122,0.092,0.067,1.32608695652174,1.82089552238806,1
VHL,9.37028957347433e-05,0.263163510269405,7.83192911372025e-07,0.338330221392371,2.8604828544232e-11,0.353200197648335,3.98270117284953e-21,0.503715526326146,0.13,0.209,0.072,0.62200956937799,1.80555555555556,1
WT1,0.000141219386037159,0.255801547079221,0.0060760366120078,0.176687116564417,1.17031613766665e-27,0.584206061507112,2.42057618531782e-24,0.545255784056076,0.113,0.147,0.006,0.768707482993197,18.8333333333333,1
NR4A2,0.000326934217606244,0.240117364630568,0.00174325962714714,0.205814883969058,7.44038196507432e-10,0.325961458574746,3.12537567172784e-09,0.313250309372117,0.2,0.282,0.225,0.709219858156029,0.888888888888889,1
TCF20,0.00102617421767549,0.217177914110429,0.00700863441106598,0.171832488663644,3.32439142445745e-09,0.312693220924487,1.56306348154541e-11,0.345150619400146,0.13,0.166,0.144,0.783132530120482,0.902777777777778,1
KDM2A,0.00179916936508922,0.205121365697519,0.000266848314466907,0.242037876767138,0.000196579125596191,0.191115007717905,9.52369847373768e-05,0.195069067598354,0.33,0.411,0.316,0.802919708029197,1.04430379746835,1
FGF2,0.00672699614259368,0.173859695918912,8.57963458022386e-05,0.224539877300614,1.85190391623939e-07,0.266695818338442,1.62181062577197e-11,0.26189300753425,0.113,0.147,0.04,0.768707482993197,2.825,1
