Goblet	Secretory	Basal	RAS	AT2	AT1	Ciliated	CAP1	CAP2	AEC	VEC	SVEC	LEC	Mesothelial	AF2	AF1	Pericyte	SMC	LAMCORE-3	LAMCORE-2	LAMCORE-1
1	0.884852232928163	0.46648813442819	0.61659132089601	-0.000452954998670691	-0.00353585137735562	0.293083361108339	-0.235990039730234	-0.226794516473843	-0.261287536614713	-0.222644416833525	-0.196025963898463	-0.165133500402523	0.0597516771065739	-0.0931177801285219	-0.152192004863669	-0.237974267932554	-0.168742292659222	-0.141743212344759	-0.11870622388768	-0.0738076215688358
0.884852232928163	1	0.281177768823232	0.728741323888629	0.075094825701835	-0.1165074348759	0.183326080537845	-0.277693887580887	-0.237346493721296	-0.276673627468691	-0.214150866768061	-0.123340058689206	-0.18738179918759	0.0635839929237123	-0.0672973312829778	-0.235779797389736	-0.248389235565277	-0.161792576185958	-0.111950592672615	-0.184896700456001	-0.156580191561551
0.46648813442819	0.281177768823232	1	0.401331828404801	-0.125769415422167	0.318409474244831	0.319742281425757	-0.220260906409527	-0.270541034358266	-0.220240674796621	-0.25478722082665	-0.212347200542281	-0.083070351511123	-0.00259695441613094	-0.0694153713950186	0.142108836222135	-0.00410807035679774	-0.0766089764026555	-0.0206579811859609	0.0805219282065185	0.0483168933847053
0.61659132089601	0.728741323888629	0.401331828404801	1	0.255637318725179	0.232513546795564	0.272112115979424	-0.442521961324169	-0.404763255583404	-0.484365528169789	-0.485303808331482	-0.364519636585473	-0.327149550690679	-0.204851054299822	-0.296247126504228	-0.274761235861991	-0.316640790027615	-0.285927245147593	-0.156026286864304	-0.267171516953213	-0.266732232931398
-0.000452954998670691	0.075094825701835	-0.125769415422167	0.255637318725179	1	-0.106439127231861	-0.131532025660463	-0.595261902357626	-0.54234479976766	-0.627186593627736	-0.586939296021914	-0.507036905887901	-0.560346076626989	-0.220216055858245	-0.36830442154296	-0.403754578412813	-0.564084312170155	-0.49835150255179	-0.366934052509777	-0.400015442428993	-0.30233118496768
-0.00353585137735562	-0.1165074348759	0.318409474244831	0.232513546795564	-0.106439127231861	1	0.245755215387825	-0.125988184833337	-0.147051484203229	-0.150249069623173	-0.260273569811073	-0.408952508316425	-0.179602993936007	-0.281732377371821	-0.293026895412867	0.0750610832851059	-0.0510781569131608	-0.148386687135986	0.0469995192368512	-0.0206376056033081	-0.0485705010955221
0.293083361108339	0.183326080537845	0.319742281425757	0.272112115979424	-0.131532025660463	0.245755215387825	1	-0.161007967329218	-0.121167461529461	-0.236995536136442	-0.298306309058109	-0.245912298935213	-0.114824358630016	-0.306550571816682	-0.328238468347583	-0.117804872102839	0.0242499650683444	-0.0632447962581379	0.109768778747628	-0.0658837105295005	-0.0693971116437937
-0.235990039730234	-0.277693887580887	-0.220260906409527	-0.442521961324169	-0.595261902357626	-0.125988184833337	-0.161007967329218	1	0.850105340938152	0.833499541084586	0.681373947459944	0.465077524129795	0.359532465147066	-0.0897146056636072	-0.0454651893703564	0.0169371168201726	0.187605117564277	0.0612374886384065	-0.0209054132207077	0.0340829844935861	-0.0588411155963483
-0.226794516473843	-0.237346493721296	-0.270541034358266	-0.404763255583404	-0.54234479976766	-0.147051484203229	-0.121167461529461	0.850105340938152	1	0.705701189403909	0.531577928682908	0.446032286228482	0.355098498383789	-0.124345093359888	-0.0858590443852184	-0.0547739612312173	0.200433108662241	0.0922099236961947	0.0302465120830159	0.0267325863283654	-0.0577483998061945
-0.261287536614713	-0.276673627468691	-0.220240674796621	-0.484365528169789	-0.627186593627736	-0.150249069623173	-0.236995536136442	0.833499541084586	0.705701189403909	1	0.778804001639719	0.618908043091209	0.426202099567024	0.0634169832052761	0.0968900439197026	0.0795561178429783	0.188192519939177	0.121143718462247	-0.049669572868343	0.0349516416286502	-0.0389099766939613
-0.222644416833525	-0.214150866768061	-0.25478722082665	-0.485303808331482	-0.586939296021914	-0.260273569811073	-0.298306309058109	0.681373947459944	0.531577928682908	0.778804001639719	1	0.734767594807833	0.433008711149313	0.235721713524546	0.251969324449917	0.0818505831131672	0.182435206764984	0.182580532155427	0.00252675546580709	0.0603526474229081	0.0492823635616902
