Category	ID	Name	Source	Total_HitCount	LAM2_FDR	LAM3_FDR	LAM2_HitCount	LAM3_HitCount	LAM2_Hits	LAM3_Hits	Selected
GO: Biological Process	GO:0000165	MAPK cascade	 	959	2.646E-10	0.298	57	7	NRG1,SPRED2,PDGFRA,PDGFRB,ESR1,KLF4,MAP3K4,FBLN1,PLCG2,GPNMB,CXCL12,SFRP1,SFRP4,SH3RF1,FN1,GDF15,ICAM1,APOE,APP,FAS,AR,NCOR1,IGF1,IGFBP4,IGFBP6,PDGFD,PRKCA,MAPK6,RAPGEF2,MAPK10,SH3RF3,PSAP,INHBA,PTEN,ITGAV,ZEB2,PTK2,NRP1,STK3,JAK2,JUN,BMPR1A,BRAF,SPHK1,MYDGF,C3,ADAM17,CAMK2D,DUSP1,DDR2,EMILIN1,LPAR1,P2RX7,TIMP2,LRP1,ROBO1,SPRED1	CRYAB,GSTP1,PEBP1,MIF,ACTA2,GREM1,PPIA	x
GO: Biological Process	GO:0042060	wound healing	 	522	4.004E-07	0.007483	34	10	NRG1,PDGFRA,LYST,SVEP1,S100A10,FAP,FBLN1,PLCG2,COL3A1,FKBP10,COL5A1,FN1,ANXA2,APOE,PDPN,IGF1,PLPP3,SNAI2,PRKCA,DCBLD2,STARD13,ARHGAP24,PTEN,ITGAV,PTK2,NRP1,JAK2,CLASP1,DDR2,EMILIN1,JMJD1C,TFPI,LMAN1,TIMP1	TPM1,MYLK,MYL9,CSRP1,NACA,ACTB,WFDC1,SMOC2,PPIA,HSPB1	x
GO: Biological Process	GO:0061061	muscle structure development	 	860	0.00001617	0.0001451	42	16	NRG1,PDGFRA,PDGFRB,MEG3,MEIS1,ADM,ARID1B,COL14A1,PLAGL1,MMP14,HOMER1,SMYD3,CXCL12,COL3A1,COL6A1,COL6A3,SGCD,GDF15,FOS,ITGA8,ID3,IGF1,SOX4,BCL2,BMPR1A,NEO1,NID1,C3,DOCK1,TCF12,PRICKLE1,CAMK2D,LAMA2,LAMB1,ADAM12,LGALS1,LMNA,EGR1,RORA,LY6E,VPS13B,LARGE1	TPM1,CRYAB,DES,MYH11,MYL6,MYLK,MYL9,YBX1,SVIL,CSRP1,NACA,ACTB,ZFHX3,GREM1,TAGLN,NUPR1	x
GO: Biological Process	GO:0006119	oxidative phosphorylation	 	165	0.3927	0.00001022	5	9	MT-ATP8,MT-CO2,MT-CYB,MT-ND2,MT-ND4	ATP5F1E,ATP5MG,COX4I1,COX7C,UQCRQ,UQCRB,NDUFA4,NUPR1,NDUFS5	x
GO: Biological Process	GO:0006936	muscle contraction	 	409	0.4805	7.742E-07	10	14	PDE4D,HOMER1,SGCD,PRKCA,ARHGAP42,DOCK4,SULF1,SPHK1,CAMK2D,LARGE1	TPM1,TPM2,CRYAB,DES,MYH11,MYL6,MYLK,MYL9,CALM1,SYNM,ACTA2,PTGER3,PLN,CNN1	x
GO: Biological Process	GO:0006412	translation	 	826	0.9882	1.677E-17	10	30	PPP1R15A,RRBP1,PRR16,APP,IGF1,PRKCA,EIF4G3,SOX4,CYP1B1,RBMS3	RPL10A,RPL21,RPL22,RPL30,RPL32,RPL34,RPL37A,RPL38,RPLP1,GAPDH,YBX1,RPS4X,RPS7,RPS8,NACA,RPS13,RPS23,RPS24,RPL14,RPS25,RPS26,RPL35,RPS27A,RPL5,RPL7A,HSPB1,RPL9,RPL15,EEF1A1,RPL19	x
GO: Biological Process	GO:0042254	ribosome biogenesis	 	336	1	7.051E-08	1	14	PTEN	RPL38,RPS4X,RPS7,RPS8,RPS13,GLUL,RPS23,RPS24,RPL14,RPS25,RPL35,RPS27A,RPL5,RPL7A	x
Pathway	M189	KEGG_RIBOSOME	KEGG Legacy Pathways	88	1	2.702E-34	0	25		RPL10A,RPL21,RPL22,RPL30,RPL32,RPL34,RPL37A,RPL38,RPLP1,RPS4X,RPS7,RPS8,RPS13,RPS23,RPS24,RPL14,RPS25,RPS26,RPL35,RPS27A,RPL5,RPL7A,RPL9,RPL15,RPL19	x
Pathway	MM15420	REACTOME_TRANSLATION	Reactome Pathways	231	1	4.024E-25	0	26		RPL21,RPL22,RPL30,RPL32,RPL34,RPL37A,RPL38,RPLP1,RPS4X,RPS7,RPS8,RPS13,SRP14,RPS23,RPS24,RPL14,RPS25,RPS26,RPL35,RPS27A,RPL5,RPL7A,RPL9,RPL15,EEF1A1,RPL19	x
Transcription Factor Binding Site	V$SRF_Q4	V$SRF_Q4	TFBS	192	0.0001454	1.78E-12	13	14	MMP14,FOS,FOSB,MYO1B,IER2,PLPP3,BNC2,ATRX,MYO1E,GAB2,JUNB,SERPINH1,EGR1	TPM1,TPM2,MYH11,DSTN,MYL6,MYLK,MYL9,SVIL,CSRP1,ACTB,KCNMB1,ACTG2,TAGLN,CNN1	x
Transcription Factor Binding Site	CTTTGT_V$LEF1_Q2	CTTTGT_V$LEF1_Q2	TFBS	1543	3.688E-17	0.2466	80	9	ADAMTS19,EPS8,NRG1,KLF12,PDE4D,PDGFRA,BACH2,FOXN3,MDK,SHC3,MEIS1,ADD3,TBC1D16,MFAP2,FAP,FBLN1,RIN2,MITF,CTHRC1,MMP14,MMP16,COL1A1,COL3A1,VIM,FKBP10,PRRX1,STIM2,ANK3,FOS,RHOBTB3,SESN3,APOD,LMO4,APP,CREB5,IGFBP6,ATRNL1,PCNX1,MAPK6,DOCK4,SOX5,CYP1B1,BNC2,ARHGAP24,ATRX,TNFSF10,INPP4A,DACH1,NBL1,ITGB8,GAB2,NEO1,PTPRG,BRAF,RBMS3,NAV3,MAFB,GFPT2,ANO4,CNTN4,AKT3,TCF12,CLASP1,PTBP2,RBMS1,DUSP1,LAMA4,RFX3,NAALADL2,ANKH,LPAR1,JMJD1C,LDB2,P2RX7,LRP1,ROBO1,PBX3,CDH11,MARCKS,RBFOX2	TPM1,CKB,RPL34,GALNT17,BTF3,SVIL,ACTB,ZFHX3,EEF1A1	x
Pathway	M610	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	Reactome Pathways	321	2.676E-29	0.4015	58	3	LAMC3,MFAP2,MFAP4,FBLN1,FBLN2,FBN1,COL14A1,MMP2,MMP11,MMP14,MMP16,MMP19,LTBP4,SDC2,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL8A1,FN1,SGCD,COL28A1,ICAM1,ITGA8,APP,VCAN,PRKCA,CTSB,CTSD,CTSL,HTRA1,SPARC,ASPN,DCN,ITGAV,ITGB8,BGN,PXDN,NID1,ADAM17,DDR2,LAMA2,LAMA4,LAMB1,ADAM12,SERPINH1,EMILIN1,TIMP1,TIMP2,LOXL1,LUM,PCOLCE	ACTA2,ACTB,ACTG2	x
Pathway	M27870	REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES	Reactome Pathways	532	1.475E-15	0.4624	54	4	NRG1,SPRED2,PDGFRA,PDGFRB,ESR1,LAMC3,MDK,SHC3,PGR,CXCL12,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,FN1,FOS,FOSB,ID3,APOE,NCOR1,IGF1,PDGFD,DNM3,PRKCA,CTSD,SPARC,IRS1,ITGAV,PTK2,GAB2,NRP1,PRDM1,JAK2,JUNB,BRAF,SPHK1,ADAM17,DOCK1,AKT3,TCF12,LAMA2,LAMA4,LAMB1,ADAM12,THBS2,EGR1,SPRED1,RBFOX2	CALM1,ACTB,RPS27A,HSPB1	x
