	dc_lam12_p_val	dc_lam12_delta	sc_lam12_p_val	sc_lam12_delta	dc_nonlam_p_val	dc_nonlam_delta	sc_nonlam_p_val	sc_nonlam_delta	LAM2.pct	LAM1.pct	nonLAM.pct	pct.fc.12	pct.fc.nl	Score
PRRX2	1.25E-08	0.393	3.02E-08	0.382	2.02E-51	0.811	1.21E-59	0.812	0.130	0.012	0.023	10.833	5.652	1.64E-04
ZEB2	2.87E-05	0.283	2.03E-06	0.325	2.96E-42	0.732	1.07E-61	0.890	0.704	0.693	0.133	1.016	5.293	1.47E-03
SATB1	1.39E-08	0.391	1.07E-09	0.422	3.10E-43	0.741	8.68E-33	0.640	0.157	0.221	0.108	0.710	1.454	2.10E-03
SNAI2	3.33E-13	0.506	2.72E-18	0.607	2.07E-19	0.482	4.38E-16	0.433	0.417	0.160	0.039	2.606	10.692	2.16E-03
SKIL	3.03E-11	0.461	6.75E-10	0.427	1.87E-20	0.496	5.22E-34	0.652	0.365	0.288	0.314	1.267	1.162	6.19E-03
TWIST1	4.54E-04	0.234	2.05E-07	0.357	6.21E-38	0.691	3.45E-45	0.758	0.348	0.362	0.003	0.961	116.000	1.31E-02
RARG	1.13E-13	0.517	3.43E-13	0.506	3.59E-17	0.450	3.79E-13	0.387	0.139	0.092	0.049	1.511	2.837	2.52E-02
RUNX2	2.68E-06	0.321	4.81E-04	0.233	1.30E-12	0.377	6.61E-31	0.620	0.235	0.037	0.085	6.351	2.765	4.88E-02
HDGF	4.00E-15	0.547	6.00E-12	0.475	4.43E-21	0.504	8.04E-15	0.408	0.304	0.337	0.299	0.902	1.017	1.08E-01
NR2F1	5.88E-04	0.229	4.54E-04	0.234	1.05E-48	0.788	3.62E-47	0.775	0.365	0.552	0.095	0.661	3.842	1.08E-01
HOXD3	7.62E-03	0.171	1.30E-02	0.157	9.94E-45	0.754	1.47E-40	0.713	0.113	0.301	0.006	0.375	18.833	1.27E-01
GLI2	4.39E-08	0.377	1.02E-04	0.262	1.43E-12	0.377	1.42E-31	0.627	0.122	0.061	0.020	2.000	6.100	2.15E-01
EP300	2.05E-06	0.325	1.32E-04	0.257	2.80E-23	0.532	3.01E-18	0.465	0.209	0.264	0.240	0.792	0.871	2.35E-01
LEF1	1.05E-07	0.366	9.95E-08	0.366	5.03E-03	0.139	4.53E-27	0.577	0.174	0.215	0.030	0.809	5.800	2.64E-01
NFATC2	2.02E-06	0.325	4.53E-06	0.313	2.20E-10	0.336	8.68E-10	0.325	0.183	0.184	0.071	0.995	2.577	6.93E-01
TWIST2	7.07E-03	0.173	6.44E-03	0.175	1.19E-20	0.498	4.21E-21	0.504	0.426	0.411	0.108	1.036	3.944	6.93E-01
CREB3L1	3.94E-07	0.348	3.02E-04	0.241	1.52E-28	0.594	1.13E-25	0.548	0.235	0.442	0.189	0.532	1.243	7.70E-01
NFATC1	1.67E-04	0.253	9.35E-07	0.336	1.13E-27	0.584	7.81E-24	0.539	0.122	0.123	0.104	0.992	1.173	7.70E-01
SATB2	3.90E-11	0.458	1.68E-04	0.252	7.96E-04	0.170	2.59E-02	0.105	0.104	0.061	0.014	1.705	7.429	1.00E+00
PRRX1	1.14E-05	0.298	1.52E-06	0.257	3.19E-02	0.100	1.79E-02	0.095	0.496	0.472	0.053	1.051	9.358	1.00E+00
SRSF2	1.44E-05	0.295	1.17E-02	0.160	3.62E-19	0.478	6.41E-12	0.365	0.626	0.785	0.543	0.797	1.153	1.00E+00
FOXC1	3.12E-05	0.282	1.34E-03	0.211	1.94E-10	0.337	1.66E-06	0.251	0.122	0.092	0.067	1.326	1.821	1.00E+00
VHL	9.37E-05	0.263	7.83E-07	0.338	2.86E-11	0.353	3.98E-21	0.504	0.130	0.209	0.072	0.622	1.806	1.00E+00
WT1	1.41E-04	0.256	6.08E-03	0.177	1.17E-27	0.584	2.42E-24	0.545	0.113	0.147	0.006	0.769	18.833	1.00E+00
NR4A2	3.27E-04	0.240	1.74E-03	0.206	7.44E-10	0.326	3.13E-09	0.313	0.200	0.282	0.225	0.709	0.889	1.00E+00
TCF20	1.03E-03	0.217	7.01E-03	0.172	3.32E-09	0.313	1.56E-11	0.345	0.130	0.166	0.144	0.783	0.903	1.00E+00
KDM2A	1.80E-03	0.205	2.67E-04	0.242	1.97E-04	0.191	9.52E-05	0.195	0.330	0.411	0.316	0.803	1.044	1.00E+00
FGF2	6.73E-03	0.174	8.58E-05	0.225	1.85E-07	0.267	1.62E-11	0.262	0.113	0.147	0.040	0.769	2.825	1.00E+00
EBF1	1.38E-02	0.155	4.25E-09	0.403	3.58E-05	0.214	8.63E-15	0.403	0.348	0.184	0.056	1.891	6.214	1.00E+00
MAZ	1.44E-02	0.154	1.51E-03	0.209	4.15E-26	0.566	1.59E-17	0.455	0.296	0.264	0.157	1.121	1.885	1.00E+00
KAT7	1.52E-02	0.153	2.30E-02	0.141	4.15E-17	0.449	4.07E-14	0.403	0.104	0.202	0.114	0.515	0.912	1.00E+00
