,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000125148,1.07883324556725e-188,2.3890062215965,0.859,0.372,3.48290524998933e-184,MT2A
ENSG00000197943,2.63630816497343e-169,2.73256474742627,0.484,0.065,8.51105727980024e-165,PLCG2
ENSG00000269028,6.5153813462522e-165,2.93604852696106,0.412,0.023,2.10342571382406e-160,MTRNR2L12
ENSG00000149021,1.64836136747458e-164,2.23118424930753,0.63,0.147,5.32156983875493e-160,SCGB1A1
ENSG00000105835,9.58113166314373e-146,1.34960338332162,0.696,0.243,3.09317254612932e-141,NAMPT
ENSG00000251562,4.50136267747369e-143,-0.980859057477781,0.99,0.99,1.45321992679561e-138,MALAT1
ENSG00000166741,2.88382025922665e-135,1.8093691430009,0.785,0.369,9.31012532488731e-131,NNMT
ENSG00000137801,4.49323064607932e-135,1.81897847099945,0.704,0.297,1.45059458178025e-130,THBS1
ENSG00000100644,7.89683703890623e-135,1.37823678781765,0.577,0.159,2.54941486964049e-130,HIF1A
ENSG00000168484,4.03610035153393e-129,2.29979264973274,0.766,0.316,1.30301463748921e-124,SFTPC
ENSG00000152527,5.34518210272238e-116,-1.22560128561731,0.548,0.805,1.72563859004289e-111,PLEKHH2
ENSG00000161055,1.65868936190133e-115,2.25306866282381,0.549,0.154,5.35491273596226e-111,SCGB3A1
ENSG00000159216,2.45920807895016e-111,1.37831561497267,0.449,0.097,7.9393073620827e-107,RUNX1
ENSG00000141753,4.15275689231311e-110,1.59150110517666,0.387,0.067,1.34067603511436e-105,IGFBP4
ENSG00000165732,4.23446453522454e-110,1.17711370122695,0.505,0.145,1.36705453055189e-105,DDX21
ENSG00000108691,3.28825742462607e-104,2.83558587048751,0.534,0.177,1.06158102696628e-99,CCL2
ENSG00000116016,2.0102635853414e-103,1.19479395611804,0.513,0.155,6.48993495891617e-99,EPAS1
ENSG00000070756,3.08589614149925e-103,0.9197924701574,0.729,0.333,9.96250710321617e-99,PABPC1
ENSG00000115594,3.15873874808642e-102,2.37291876730408,0.54,0.191,1.01976721743222e-97,IL1R1
ENSG00000228253,1.72655513152431e-100,1.66475486012856,0.301,0.029,5.57401058661309e-96,MT-ATP8
ENSG00000188313,1.21759685336226e-99,0.813665545580273,0.462,0.113,3.9308896813947e-95,PLSCR1
ENSG00000173559,2.62855782395097e-99,1.44345006555592,0.453,0.124,8.48603607884331e-95,NABP1
ENSG00000205364,1.56452622979509e-98,2.14672010423458,0.461,0.132,5.05091648027048e-94,MT1M
ENSG00000068366,4.12706509296425e-97,1.43290409416043,0.384,0.076,1.33238169461258e-92,ACSL4
ENSG00000148154,1.0124742443267e-94,0.88840868784149,0.458,0.117,3.26867185038433e-90,UGCG
ENSG00000103222,1.35546275170149e-94,1.02149953173426,0.296,0.03,4.37597594759308e-90,ABCC1
ENSG00000168906,1.32478374915953e-92,0.757290599281575,0.441,0.108,4.27693185578662e-88,MAT2A
ENSG00000249859,1.5371407125125e-92,1.92474215357744,0.254,0.014,4.96250507627537e-88,PVT1
ENSG00000143641,3.15051438577053e-91,1.69101473626338,0.353,0.068,1.01711206430216e-86,GALNT2
ENSG00000012660,1.52144455644163e-90,0.764551164508235,0.375,0.072,4.91183160601615e-86,ELOVL5
ENSG00000168878,4.81143962479808e-89,2.9707448589954,0.415,0.112,1.55332516846981e-84,SFTPB
ENSG00000151150,1.79516002652005e-87,2.127865997557,0.273,0.029,5.79549462961734e-83,ANK3
ENSG00000130164,4.1859743541731e-87,0.778485056604589,0.295,0.037,1.35139996050124e-82,LDLR
ENSG00000164265,5.15262477616015e-87,1.48567050021771,0.359,0.074,1.66347338273554e-82,SCGB3A2
ENSG00000131459,6.42898709100111e-87,1.39688204541315,0.447,0.131,2.0755341924588e-82,GFPT2
ENSG00000140285,1.13213797102509e-86,1.58691549475305,0.61,0.296,3.65499422565739e-82,FGF7
ENSG00000163565,2.24349975693802e-85,0.861120597525776,0.563,0.207,7.24291461529871e-81,IFI16
ENSG00000132334,5.36937960280452e-85,1.03495982663174,0.258,0.022,1.73345051096941e-80,PTPRE
ENSG00000185303,4.69188125425369e-84,1.37919148666476,0.356,0.073,1.51472694412326e-79,SFTPA2
ENSG00000109762,6.97128243102582e-84,1.18259998570631,0.24,0.016,2.25060882003238e-79,SNX25
ENSG00000169715,9.45827737518383e-84,1.48158618592606,0.52,0.189,3.05351026780435e-79,MT1E
ENSG00000122852,1.18813197390048e-82,1.52412412462594,0.362,0.079,3.83576526454031e-78,SFTPA1
ENSG00000112715,1.26025516639082e-82,0.795993428331686,0.257,0.024,4.06860777917612e-78,VEGFA
ENSG00000127603,4.95069028546802e-81,-1.16174129200317,0.8,0.915,1.59828085176049e-76,MACF1
ENSG00000068650,5.2359906114192e-81,1.30731170724655,0.237,0.017,1.69038720899058e-76,ATP11A
ENSG00000154582,5.41310089151845e-81,0.980434298302164,0.438,0.13,1.74756549181782e-76,ELOC
ENSG00000116717,2.44510621148818e-80,1.33550565671424,0.374,0.095,7.89378089316843e-76,GADD45A
ENSG00000118523,2.87952988239409e-78,-1.94301297414822,0.595,0.708,9.29627427232108e-74,CCN2
ENSG00000165029,6.76124164936319e-78,1.17920898874716,0.399,0.111,2.18279925408041e-73,ABCA1
ENSG00000205339,1.14890564561194e-77,0.774631439323942,0.386,0.098,3.70912698629358e-73,IPO7
ENSG00000121039,1.71777882470193e-77,0.918102544301377,0.263,0.032,5.5456771576677e-73,RDH10
ENSG00000075223,8.55099711776094e-77,2.02847106599472,0.385,0.112,2.76060390949794e-72,SEMA3C
ENSG00000205362,9.06797567153877e-77,1.54947835953034,0.26,0.034,2.92750526579958e-72,MT1A
ENSG00000118515,4.42085819325879e-76,0.810066465500431,0.256,0.03,1.42722985911167e-71,SGK1
ENSG00000108021,4.68252007216545e-76,0.769736782236209,0.386,0.1,1.51170478009789e-71,TASOR2
ENSG00000156273,1.30365367766234e-75,1.35617964803862,0.358,0.092,4.2087155329651e-71,BACH1
ENSG00000133026,1.43015873134446e-75,-1.27087706532188,0.648,0.742,4.61712444827244e-71,MYH10
ENSG00000173744,1.87574385189367e-75,0.6617998217941,0.36,0.083,6.05565145145353e-71,AGFG1
ENSG00000198604,2.02982778138178e-75,0.761155279273325,0.336,0.072,6.55309600941294e-71,BAZ1A
ENSG00000136153,4.09798932179452e-75,1.2849580574264,0.253,0.031,1.32299487264814e-70,LMO7
ENSG00000088387,1.6518506129209e-74,0.947289252271998,0.246,0.028,5.33283451875382e-70,DOCK9
ENSG00000211592,3.07496844588166e-74,0.903001521137208,0.202,0.008,9.92722813068435e-70,IGKC
ENSG00000158859,3.16673648575352e-74,1.07826648958734,0.247,0.029,1.02234920706067e-69,ADAMTS4
ENSG00000152767,3.77625036166678e-74,0.66255582550025,0.287,0.047,1.2191246667605e-69,FARP1
ENSG00000138095,4.39964634257739e-74,0.694245371446125,0.382,0.099,1.42038182523768e-69,LRPPRC
