,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,symbol
ENSG00000159403,2.01681346010624e-09,-0.937104217764015,0.404,0.513,6.511080574607e-05,C1R
ENSG00000198888,2.15656904221653e-09,0.664521589418817,0.895,0.882,6.96226749589184e-05,MT-ND1
ENSG00000142173,2.38780515257791e-09,-0.624590256911016,0.715,0.718,7.70879015458253e-05,COL6A2
ENSG00000141298,2.49341236716415e-09,0.630348824149568,0.205,0.061,8.04973248615273e-05,SSH2
ENSG00000067082,2.91925448774881e-09,-0.781513022898773,0.514,0.568,9.42452118824827e-05,KLF6
ENSG00000112306,5.13053334623824e-09,0.672904751525389,0.886,0.753,0.000165634138549955,RPS12
ENSG00000140262,5.71673302491916e-09,0.609927074174163,0.251,0.095,0.00018455900897649,TCF12
ENSG00000197746,6.22190299381216e-09,-0.602890671103047,0.689,0.687,0.000200867916252232,PSAP
ENSG00000125740,9.09899796680455e-09,-0.701171395120998,0.176,0.329,0.000293752050360318,FOSB
ENSG00000140945,9.70614195931904e-09,0.647760337033631,0.123,0.018,0.000313353087014656,CDH13
ENSG00000244754,1.38287631792933e-08,-0.613257028398476,0.665,0.661,0.000446447790480305,N4BP2L2
ENSG00000109906,1.41105060582723e-08,0.599088327333014,0.511,0.303,0.000455543577585263,ZBTB16
ENSG00000164056,1.60045682482431e-08,-0.745839983239749,0.407,0.511,0.00051669148132628,SPRY1
ENSG00000198848,1.61791469998473e-08,-0.784128026154446,0.091,0.211,0.00052232758174307,CES1
ENSG00000167772,1.65311981672957e-08,0.678967201111733,0.164,0.042,0.000533693201632973,ANGPTL4
ENSG00000167552,1.76672463551085e-08,-0.762935237634817,0.637,0.655,0.000570369381328324,TUBA1A
ENSG00000024422,1.95559220035722e-08,-0.823460924821014,0.425,0.5,0.000631343385963326,EHD2
ENSG00000249307,2.38017641034146e-08,-0.938507646278539,0.073,0.189,0.000768416152314636,LINC01088
ENSG00000109321,3.96289063983378e-08,1.19588847225683,0.18,0.055,0.00127937961416394,AREG
ENSG00000173267,3.97324744236732e-08,0.705722269188347,0.11,0.016,0.00128272320429387,SNCG
ENSG00000169129,4.60675831568287e-08,-0.76564292516234,0.114,0.232,0.00148724585463506,AFAP1L2
ENSG00000204592,4.90679192017626e-08,-0.715469440679166,0.625,0.642,0.0015841087035097,HLA-E
ENSG00000148175,4.93731458101695e-08,-0.599240556273612,0.751,0.745,0.00159396263933551,STOM
ENSG00000185303,5.35746815860448e-08,1.00900164494698,0.254,0.103,0.00172960502032387,SFTPA2
ENSG00000172965,6.03798642789373e-08,0.592878305538766,0.327,0.161,0.00194930353838121,MIR4435-2HG
ENSG00000079691,7.10392385568145e-08,0.662495130010603,0.352,0.176,0.0022934307775682,CARMIL1
ENSG00000149798,8.14973791594256e-08,-0.829937152878887,0.215,0.329,0.00263106138878289,CDC42EP2
ENSG00000117984,1.37828184384418e-07,-0.61370232206324,0.541,0.576,0.00444964510466654,CTSD
ENSG00000085871,1.52146587881872e-07,-0.8226049564577,0.135,0.247,0.00491190044317835,MGST2
ENSG00000267042,1.53541808680309e-07,-0.837204586308442,0.139,0.25,0.00495694375143509,AC100793.2
ENSG00000129538,1.61431585780988e-07,0.869660777621736,0.137,0.034,0.00521165731535341,RNASE1
ENSG00000150471,1.89609321280473e-07,0.686901784778739,0.123,0.026,0.0061213473282188,ADGRL3
ENSG00000174944,2.05316433933037e-07,-0.820166938579852,0.285,0.395,0.00662843575309415,P2RY14
ENSG00000088992,2.25253917640101e-07,-0.754393225692279,0.299,0.403,0.00727209747709303,TESC
ENSG00000076344,2.62534575712874e-07,-0.721312005922727,0.094,0.2,0.00847566624231442,RGS11
ENSG00000101443,2.80537380508222e-07,0.586206773331538,0.112,0.021,0.00905686879232744,WFDC2
ENSG00000182718,6.44157160164161e-07,-0.60165082055661,0.58,0.608,0.0207959697587398,ANXA2
ENSG00000214063,7.71350834162772e-07,-0.789290455033138,0.322,0.413,0.0249022903301109,TSPAN4
ENSG00000143369,8.25324592594987e-07,-0.66916010388595,0.365,0.45,0.0266447791473366,ECM1
ENSG00000106819,8.61813153307751e-07,0.608500468643808,0.158,0.053,0.0278227758413874,ASPN
ENSG00000129226,9.13666872265738e-07,-0.666908624225264,0.064,0.155,0.0294968213042271,CD68
ENSG00000173376,1.0150081705743e-06,-0.754925671224944,0.123,0.226,0.0327685237788207,NDNF
ENSG00000188290,1.13389844013936e-06,-0.663502613749383,0.548,0.589,0.0366067772414592,HES4
ENSG00000182197,1.36910020588672e-06,0.748487597626944,0.205,0.084,0.0442000310468467,EXT1
ENSG00000179772,1.6194535861752e-06,-0.725237632663244,0.174,0.284,0.05228243957608,FOXS1
ENSG00000213625,1.66501627964556e-06,-0.635871736752948,0.488,0.532,0.0537533855720772,LEPROT
ENSG00000144724,1.69475106326485e-06,0.771891135857639,0.358,0.203,0.0547133433264424,PTPRG
ENSG00000182326,1.81519854436783e-06,-0.670645304628216,0.381,0.461,0.0586018698063712,C1S
ENSG00000103175,2.54060833781763e-06,-0.702101301436076,0.445,0.505,0.0820209995781045,WFDC1
ENSG00000170955,2.54420057213508e-06,-0.656188816456102,0.436,0.505,0.0821369712708089,CAVIN3
ENSG00000109846,3.31202151555758e-06,0.678048453370489,0.281,0.145,0.106925302608261,CRYAB
ENSG00000019549,4.39229227283825e-06,-0.671325889033447,0.116,0.213,0.14180076373631,SNAI2
ENSG00000171476,5.02070913757525e-06,0.634069848444513,0.132,0.042,0.162088573797479,HOPX
ENSG00000103710,5.73649239419957e-06,-0.735056791239231,0.265,0.355,0.185196920454339,RASL12
ENSG00000168878,1.18187491271524e-05,1.44418414566146,0.272,0.145,0.381556496820989,SFTPB
ENSG00000197043,1.40497214142801e-05,-0.638273466039419,0.507,0.518,0.45358120613862,ANXA6
ENSG00000188906,1.55044942823332e-05,0.695865216568538,0.101,0.026,0.500547093410844,LRRK2
ENSG00000106004,1.56458928978004e-05,-0.808799341468343,0.1,0.182,0.505112006312589,HOXA5
ENSG00000177606,1.56827879499189e-05,-0.59698985349233,0.502,0.574,0.506303126175183,JUN
ENSG00000111077,1.73930950063558e-05,-0.681155329554432,0.434,0.471,0.561518679185189,TNS2
ENSG00000123243,1.95422050265208e-05,-0.786423830443441,0.183,0.268,0.630900547076196,ITIH5
