p_val	avg_log2FC	pct.1	pct.2	p_val_adj	symbol	pct.fc
ENSG00000106211	7.80997541550541e-06	1.29982369032914	0.756	0.722	0.252137246314177	HSPB1	1.04709141274238
ENSG00000152413	7.86839180752448e-06	-0.61922960435023	0.146	0.365	0.25402316111412	HOMER1	0.4
ENSG00000135047	7.96258955871632e-06	-0.671109925746536	0.268	0.557	0.257064241313598	CTSL	0.481149012567325
ENSG00000116251	8.14917444962664e-06	0.901253484000572	0.771	0.739	0.263087947931746	RPL22	1.04330175913396
ENSG00000237187	8.56681063116867e-06	-0.763873145375097	0.127	0.339	0.276570914416649	NR2F1-AS1	0.374631268436578
ENSG00000118181	8.57942134062573e-06	0.842981132477166	0.834	0.8	0.276978038560761	RPS25	1.0425
ENSG00000170345	8.91447645649823e-06	-1.05435052716531	0.351	0.643	0.287794957921589	FOS	0.545878693623639
ENSG00000109756	9.47631813732713e-06	-0.651502478993947	0.098	0.296	0.305933454745469	RAPGEF2	0.331081081081081
ENSG00000137145	9.58220876795941e-06	-0.621169267914937	0.161	0.391	0.309352027864802	DENND4C	0.411764705882353
ENSG00000074054	9.93016547019329e-06	-0.759543849571977	0.132	0.339	0.32058546203972	CLASP1	0.389380530973451
ENSG00000214510	1.00374287513079e-05	-0.792602249637111	0.01	0.122	0.324048349807223	SPINK13	0.0819672131147541
ENSG00000239268	1.00552172567461e-05	-1.29760704629927	0.054	0.209	0.324622633916792	AC092691.1	0.258373205741627
ENSG00000267659	1.09526476851161e-05	-0.970736585151825	0.039	0.183	0.353595277866289	LINC01482	0.213114754098361
ENSG00000009413	1.19352423316601e-05	-0.898459739756658	0.293	0.574	0.385317363435314	REV3L	0.510452961672474
ENSG00000125730	1.23188752382154e-05	-1.08641808341897	0.073	0.243	0.397702568190547	C3	0.300411522633745
ENSG00000065978	1.25695554071286e-05	1.14671028958733	0.766	0.757	0.405795526763741	YBX1	1.01188903566711
ENSG00000146555	1.3065306295661e-05	-1.60010975272915	0.156	0.374	0.42180034844912	SDK1	0.417112299465241
ENSG00000177694	1.32460642215603e-05	-1.077838664465	0.127	0.33	0.427635937328852	NAALADL2	0.384848484848485
ENSG00000102265	1.35029664963947e-05	-1.99446853578206	0.483	0.73	0.435929770369607	TIMP1	0.661643835616438
ENSG00000175198	1.46870180931096e-05	-0.626716135054243	0.102	0.296	0.474155692117949	PCCA	0.344594594594595
ENSG00000068697	1.47019818949458e-05	-0.616724892130379	0.459	0.713	0.474638783496429	LAPTM4A	0.643758765778401
ENSG00000107317	1.4742554906644e-05	-1.26465767329998	0.424	0.661	0.475948642606096	PTGDS	0.641452344931921
ENSG00000130208	1.49243223240852e-05	-1.19025320131305	0.268	0.522	0.481816821910768	APOC1	0.513409961685824
ENSG00000166068	1.56155832838186e-05	-0.735552390346536	0.185	0.426	0.504133490734799	SPRED1	0.434272300469484
ENSG00000171914	1.57153978615859e-05	-0.590550641027412	0.049	0.2	0.507355904563439	TLN2	0.245
ENSG00000151572	1.60627251055312e-05	-1.74549510846027	0.044	0.191	0.518569017306968	ANO4	0.230366492146597
ENSG00000184838	1.6497783600962e-05	-0.72303178288193	0.034	0.174	0.532614445773457	PRR16	0.195402298850575
ENSG00000149256	1.65254237756107e-05	-0.743193605085887	0.083	0.261	0.533506781171815	TENM4	0.318007662835249
ENSG00000142937	1.685184647362e-05	0.695100293627687	0.888	0.861	0.544045011554347	RPS8	1.03135888501742
ENSG00000100906	1.75708593905659e-05	-0.684982200395333	0.337	0.626	0.567257624565031	NFKBIA	0.538338658146965
ENSG00000008513	1.78455165747074e-05	-0.803928814036799	0.161	0.374	0.576124657097855	ST3GAL1	0.43048128342246
ENSG00000184384	1.81574534988661e-05	-1.14476286180696	0.2	0.426	0.586195228757394	MAML2	0.469483568075117
ENSG00000107518	2.12674890000624e-05	-1.52914448356742	0.18	0.391	0.686599614878015	ATRNL1	0.460358056265985
ENSG00000107249	2.19076061658197e-05	-2.00813320154807	0.112	0.304	0.707265157457325	GLIS3	0.368421052631579
ENSG00000133401	2.19793229485211e-05	-1.11522699739487	0.078	0.243	0.709580462070056	PDZD2	0.320987654320988
ENSG00000133112	2.27402188281493e-05	0.798964012605992	0.922	0.904	0.734145224647972	TPT1	1.01991150442478
ENSG00000139173	2.42970192140528e-05	-0.600604941454583	0.117	0.313	0.78440496830648	TMEM117	0.373801916932907
ENSG00000120549	2.4689620652309e-05	-0.850702078383848	0.068	0.235	0.797079713139143	KIAA1217	0.28936170212766
ENSG00000143995	2.52458106408488e-05	-0.683054911193193	0.083	0.252	0.815035750729164	MEIS1	0.329365079365079
ENSG00000133812	2.61525745326392e-05	-0.68616492251099	0.234	0.487	0.844309716211724	SBF2	0.480492813141684
ENSG00000151694	2.67566903566518e-05	-0.613912071864199	0.176	0.4	0.863812991474145	ADAM17	0.44
ENSG00000096968	2.73625437095869e-05	-0.604384826947781	0.137	0.348	0.883372361120304	JAK2	0.39367816091954
ENSG00000109689	3.34910321130475e-05	-0.655472726754782	0.117	0.304	1	STIM2	0.384868421052632
ENSG00000138326	3.44251185158082e-05	0.762049731734576	0.844	0.843	1	RPS24	1.0011862396204
ENSG00000083067	3.50055513494274e-05	-0.67582649072432	0.073	0.243	1	TRPM3	0.300411522633745
ENSG00000196531	3.83397833326198e-05	0.779322177262647	0.776	0.748	1	NACA	1.03743315508021
ENSG00000133392	3.9099188874272e-05	1.354312943787	0.556	0.348	1	MYH11	1.59770114942529
ENSG00000103222	4.91959963201214e-05	-0.73793625218895	0.098	0.27	1	ABCC1	0.362962962962963
ENSG00000143947	5.10968340324225e-05	0.644667576780918	0.873	0.861	1	RPS27A	1.01393728222997
ENSG00000171863	5.43769506921945e-05	0.706843768335129	0.82	0.809	1	RPS7	1.01359703337454
ENSG00000164808	5.50633308027454e-05	-0.656868521851345	0.171	0.383	1	SPIDR	0.446475195822454
ENSG00000163682	5.80485281205255e-05	0.687510475712785	0.849	0.817	1	RPL9	1.03916768665851
ENSG00000115504	5.8735245688068e-05	-0.705372588437858	0.176	0.391	1	EHBP1	0.450127877237852
ENSG00000107779	5.92174411419992e-05	-0.663187064210508	0.146	0.339	1	BMPR1A	0.430678466076696
ENSG00000197747	6.27089563668572e-05	-0.964159730207481	0.268	0.496	1	S100A10	0.540322580645161
ENSG00000148926	6.33132358158989e-05	-0.882502986949686	0.078	0.235	1	ADM	0.331914893617021
ENSG00000100731	6.82644005092306e-05	-0.722546886850692	0.166	0.365	1	PCNX1	0.454794520547945
ENSG00000247199	7.15979547465333e-05	-0.762400083559946	0.029	0.148	1	AC011346.1	0.195945945945946
