p_val	avg_log2FC	pct.1	pct.2	p_val_adj	symbol	pct.fc
ENSG00000106772	1.73697209238134e-28	-1.31595393275198	0.278	0.92	5.60764070304393e-24	PRUNE2	0.302173913043478
ENSG00000077943	2.27855345761024e-28	-1.45978477411433	0.215	0.853	7.3560819825489e-24	ITGA8	0.252051582649472
ENSG00000069702	1.88828784633274e-27	-1.07732117036602	0.171	0.81	6.09614848310062e-23	TGFBR3	0.211111111111111
ENSG00000147526	8.49317407262899e-27	-1.06306046407198	0.332	0.969	2.74193631760754e-22	TACC1	0.342621259029928
ENSG00000163395	1.45434307704146e-25	-1.23529635206958	0.171	0.748	4.69520118992066e-21	IGFN1	0.228609625668449
ENSG00000050405	1.93575000177944e-24	-0.915583642550265	0.239	0.865	6.24937530574474e-20	LIMA1	0.276300578034682
ENSG00000168542	3.3540101943585e-24	-1.0725636225339	0.259	0.853	1.0828086511467e-19	COL3A1	0.303634232121923
ENSG00000177606	1.6567533046935e-23	-1.69477171969617	0.322	0.84	5.3486623688725e-19	JUN	0.383333333333333
ENSG00000132561	4.84130966388694e-23	-0.939972718977051	0.278	0.859	1.56296841188926e-18	MATN2	0.323632130384168
ENSG00000181722	5.40737840665781e-23	-1.17923379669213	0.259	0.877	1.74571804480541e-18	ZBTB20	0.295324971493729
ENSG00000251562	7.50804558381145e-23	-1.08466408510168	0.829	1	2.42389743627769e-18	MALAT1	0.829
ENSG00000163110	7.56613723649416e-23	-1.04041806422622	0.273	0.89	2.44265174542977e-18	PDLIM5	0.306741573033708
ENSG00000174705	1.00862126196359e-22	-0.942580123093514	0.322	0.933	3.25623288212324e-18	SH3PXD2B	0.345123258306538
ENSG00000134871	1.10785179905894e-22	-0.722711096029252	0.288	0.933	3.57658874808189e-18	COL4A2	0.308681672025723
ENSG00000108821	2.35587810190308e-22	-1.43274699126597	0.254	0.779	7.60571686418389e-18	COL1A1	0.326059050064185
ENSG00000154175	2.75778792133495e-22	-1.19119055502685	0.156	0.706	8.90324252523776e-18	ABI3BP	0.220963172804533
ENSG00000169851	3.303304826395e-22	-1.39400610952314	0.22	0.798	1.06643893015336e-17	PCDH7	0.275689223057644
ENSG00000150995	5.33898935811571e-22	-1.02370312632085	0.234	0.822	1.72363932437408e-17	ITPR1	0.284671532846715
ENSG00000139211	7.29341752478727e-22	-0.669275875103917	0.088	0.577	2.35460691370232e-17	AMIGO2	0.152512998266898
ENSG00000154734	7.89441324167578e-22	-0.915872418981646	0.19	0.736	2.54863237094261e-17	ADAMTS1	0.258152173913043
ENSG00000131016	8.27006651291205e-22	-0.739718490945807	0.215	0.816	2.66990827302853e-17	AKAP12	0.263480392156863
ENSG00000204262	8.7765384096376e-22	-0.640256929386385	0.098	0.607	2.8334176601674e-17	COL5A2	0.161449752883031
ENSG00000142192	9.19193587791976e-22	-1.1428536303692	0.42	0.939	2.96752457882762e-17	APP	0.447284345047923
ENSG00000269821	1.22906967731897e-21	-1.04566912430199	0.224	0.785	3.96792854625658e-17	KCNQ1OT1	0.285350318471338
ENSG00000163939	1.70921672316394e-21	-0.591036335137353	0.229	0.822	5.51803526906248e-17	PBRM1	0.278588807785888
